Country of Destiny,CountryDestinyEN
Camerún,CAMEROON
Ir,TOGO
Comoras,COMOROS
Zimbabue,ZIMBABWE
Zambia,ZAMBIA
Botswana,BOTSWANA
Etiopía,ETHIOPIA
Moldavia,MOLDOVA
Ruanda,RWANDA
Irlanda,IRELAND
Federación Rusa,RUSSIAN FEDERATION
Yemen,YEMEN
Namibia,NAMIBIA
"Congo, Rep.","CONGO, REP."
Santo Tomé Y Príncipe,SAO TOME AND PRINCIPE
Sudáfrica,SOUTH AFRICA
Albania,ALBANIA
Islas Vírgenes Británicas,BRITISH VIRGIN ISDS
Montserrat,MONTSERRAT
Curacao,CURACAO
Portugal,PORTUGAL
San Vicente Y Las Granadinas,SAINT VINCENT AND THE GRENADINES
"Áreas, Nep","AREAS, NES"
Dominica,DOMINICA
Malta,MALTA
Guayana,GUYANA
Santa Lucía,SAINT LUCIA
Solomon Isds,SOLOMON ISDS
China,CHINA
Georgia,GEORGIA
Israel,ISRAEL
Belarús,BELARUS
Irak,IRAQ
Tailandia,THAILAND
Tayikistán,TAJIKISTAN
Turkmenistán,TURKMENISTAN
Afganistán,AFGHANISTAN
Argelia,ALGERIA
Andorra,ANDORRA
Azerbaiyán,AZERBAIJAN
Argentina,ARGENTINA
Australia,AUSTRALIA
Bahamas,BAHAMAS
Bangladesh,BANGLADESH
Armenia,ARMENIA
Barbados,BARBADOS
Bolivia,BOLIVIA
Bosnia Herzegovina,BOSNIA HERZEGOVINA
Brasil,BRAZIL
Belice,BELIZE
Burundi,BURUNDI
Cabo Verde,CABO VERDE
Colombia,COLOMBIA
Costa Rica,COSTA RICA
Cuba,CUBA
Chipre,CYPRUS
República Checa.,CZECH REP.
Ecuador,ECUADOR
El Salvador,EL SALVADOR
Guinea Ecuatorial,EQUATORIAL GUINEA
Estonia,ESTONIA
Polinesia Francés,FRENCH POLYNESIA
Djibouti,DJIBOUTI
Gabón,GABON
Estado De Palestina,STATE OF PALESTINE
Guatemala,GUATEMALA
Haití,HAITI
Honduras,HONDURAS
Hungría,HUNGARY
Indonesia,INDONESIA
Jamaica,JAMAICA
Kenia,KENYA
Letonia,LATVIA
Liberia,LIBERIA
Lituania,LITHUANIA
Madagascar,MADAGASCAR
Malawi,MALAWI
Mauricio,MAURITIUS
"Otros Asia, Nes","OTHER ASIA, NES"
Marruecos,MOROCCO
Omán,OMAN
Nepal,NEPAL
Aruba,ARUBA
Nueva Zelanda,NEW ZEALAND
Noruega,NORWAY
Panamá,PANAMA
Paraguay,PARAGUAY
Perú,PERU
Polonia,POLAND
Guinea-Bissau,GUINEA-BISSAU
Katar,QATAR
Sierra Leona,SIERRA LEONE
Singapur,SINGAPORE
Eslovaquia,SLOVAKIA
Vietnam,VIETNAM
Eslovenia,SLOVENIA
Suriname,SURINAME
Siria,SYRIA
Trinidad Y Tobago,TRINIDAD AND TOBAGO
Ucrania,UKRAINE
Tanzania,TANZANIA
Zonas Libres,FREE ZONES
Uruguay,URUGUAY
Venezuela,VENEZUELA
Camboya,CAMBODIA
Eritrea,ERITREA
Sudán,SUDAN
Brunei Darussalam,BRUNEI DARUSSALAM
Islandia,ICELAND
Maldivas,MALDIVES
Antigua Y Barbuda,ANTIGUA AND BARBUDA
"China, Rae De Macao","CHINA, MACAO SAR"
Sudán Del Sur,SOUTH SUDAN
Antártida,ANTARCTICA
Myanmar,MYANMAR
Navidad,CHRISTMAS ISDS
Cocineros,COOK ISDS
Fiyi,FIJI
Kiribati,KIRIBATI
Guam,GUAM
"Corea, Dem. Reps.","KOREA, DEM. REP."
República Democrática Popular Lao,LAO PDR
Mongolia,MONGOLIA
Nauru,NAURU
Vanuatu,VANUATU
Norfolk Isds,NORFOLK ISDS
N. Mariana Isds,N. MARIANA ISDS
Micronesia,MICRONESIA
Marshall Isds,MARSHALL ISDS
Palau,PALAU
Papúa Nueva Guinea,PAPUA NEW GUINEA
Timor Oriental,TIMOR-LESTE
Fmr Sudán,FMR SUDAN
Tuvalu,TUVALU
Wallis Y Futuna Isds,WALLIS AND FUTUNA ISDS
Samoa Americana,AMERICAN SAMOA
Santa Elena,SAINT HELENA
Bunkers,BUNKERS
Islas Bermudas,BERMUDA
Uzbekistán,UZBEKISTAN
Tierra Verde,GREENLAND
Swazilandia,SWAZILAND
Granada,GRENADA
Rep. Centroafricana,CENTRAL AFRICAN REP.
Chad,CHAD
Mayotte,MAYOTTE
Lesoto,LESOTHO
Faeroe Isds,FAEROE ISDS
San Pedro Y Miquelón,SAINT PIERRE AND MIQUELON
Territorios Franceses Del Sur,FRENCH SOUTHERN TERRITORIES
Bonaire,BONAIRE
Anguila,ANGUILLA
San Marino,SAN MARINO
Santa Sede,HOLY SEE
Sint Maarten (Parte Holandesa),SINT MAARTEN (DUTCH PART)
"Otros África, Nes","OTHER AFRICA, NES"
Cayman Isds,CAYMAN ISDS
Islas Turcas Y Caicos,TURKS AND CAICOS ISDS
Categorías Especiales,SPECIAL CATEGORIES
Falkland Isds (Malvinas),FALKLAND ISDS (MALVINAS)
Estados Unidos Minor Outlying Isds,UNITED STATES MINOR OUTLYING ISDS
Somalia,SOMALIA
"Oceanía, Nes","OCEANIA, NES"
"Otras Europa, Nes","OTHER EUROPE, NES"
Bután,BHUTAN
Isla De Heard Y Mcdonald Isds,HEARD ISLAND AND MCDONALD ISDS
Niue,NIUE
San Bartolomé,SAINT-BARTHELEMY
Gibraltar,GIBRALTAR
"Asociación Latinoamericana De Integración, Nes","LATIN AMERICAN INTEGRATION ASSOCIATION, NES"
Pitcairn,PITCAIRN
Territorio Británico Del Océano Índico,BRITISH INDIAN OCEAN TERRITORY
Tokelau,TOKELAU
Isla Bouvet,BOUVET ISLAND
Islas Cocos,COCOS ISDS
Georgia Del Sur Y Sandwich Del Sur,SOUTH GEORGIA AND THE SOUTH SANDWICH ISDS
Puerto Rico,PUERTO RICO
Nos.,U.S.
Corea Del Sur República De,SOUTH KOREA REPUBLIC OF
Curazao,CURAZAO
Zona Libre Biocombustible Dl Caribe,FREE ZONE BIOCOMBUSTIBLE DL CARIBBEAN
Zona Libre Barranquilla,FREE ZONE BARRANQUILLA
Hong Kong,HONG KONG
San Martin (Holandés),SAN MARTIN (DUTCH)
Rusia,RUSSIA
Corea Del Sur,SOUTH KOREA
Taiwán,TAIWAN
Islas Turcas Y Caicos,TURKS AND CAICOS ISLANDS
Cabo Verde,CAPE VERDE
Isla De Dominica,DOMINICA ISLAND
St. Vicente Y Las Granadinas,ST. VICENT AND THE GRENADINES
St. Kitts Y Nevis,ST. KITTS AND NEVIS
República Democrática Del Congo,CONGO DEMOCRATIC REPUBLIC OF THE
República Árabe Siria,SYRIAN ARAB REPUBLIC
Zfpe Colombina Del Cauca,ZFPE COLOMBINA DEL CAUCA
Zfp Centro Logístico Del Pacífico Celpa,ZFP LOGISTICAL CENTER OF PACIFIC CELPA
Zf Cencauca Parque Indl Caloto,ZF CENCAUCA PARQUE INDL CALOTO
Zona Libre Cartagena,FREE ZONE CARTAGENA
Zona Libre Las Americas,FREE ZONE LAS AMERICAS
Antillas Holandesas,NETHERLANDS ANTILLES
República Checa,CZECH REPUBLIC
Congo,CONGO
Rep De Georgia,REP OF GEORGIA
Surinam,SURINAME
DESCONOCIDO,UNKNOWN
desconocido,UNKNOWN
Desconocido,UNKNOWN
